Foundation,city,Modern-day,Modern country,civ
72 AD,Luguvalium,Carlisle,UK,roman
73 AD,Arae Flaviae,Rottweil,Germany,roman
74 AD,Isca Augusta,Caerleon,UK,roman
74 AD,Lagentium,Castleford,UK,roman
75 AD,Moridunum,Carmarthen,UK,roman
75 AD,Venta Silurum,Caerwent,UK,roman
79 AD,Deva Victrix,Chester,UK,roman
79 AD,Mamucium,Manchester,UK,roman
79 AD,Olicana,Ilkley,UK,roman
79 AD,Vinovia,Binchester,UK,roman
80 AD,Inveresk Roman Fort,Musselburgh,UK,roman
83 AD,Bonames (present city district),Frankfurt am Main,Germany,roman
85 AD,Coria,Corbridge,UK,roman
85 AD,Gerulata,Bratislava,Slovakia,roman
89 AD,Vindobona,Vienna,Austria,roman
90 AD,Biriciana,Weißenburg in Bayern,Germany,roman
90 AD,Cannstatt Castrum,Stuttgart,Germany,roman
97 AD,Colonia Nervia Glevensium,Gloucester,UK,roman
98 AD,Sumelocenna,Rottenburg am Neckar,Germany,roman
98 AD,Traiectum ad Nicrem,Heidelberg,Germany,roman
1st c. AD,Castra Batavar,Passau,Germany,roman
1st c. AD,Nida,Frankfurt,Germany,roman
1st c. AD,Lactodurum,Towcester,UK,roman
1st c. AD,Bovium,Cowbridge,UK,roman
1st c. AD,Burgodunum,Leeds,UK,roman
1st c. AD,Lentia,Linz,Austria,roman
1st c. AD,Aquae Granni,Aachen,Germany,roman
1st c. AD,Portus Victoriae Iuliobrigensium,Santander,Spain,roman
1st c. AD,Complutum,Alcalá de Henares,Spain,roman
1st c. AD,Aeminium,Coimbra,Portugal,roman
1st c. AD,Traiectum ad Mosam,Maastricht,Netherlands,roman
1st c. AD,Coriovallum,Heerlen,Netherlands,roman
1st c. AD,Portus Lemanis,Lympne,UK,roman
1st c. AD,Colonia Pietas Iulia Pola Pollentia Herculanea,Pula,Croatia,roman
1st c. AD,Andautonia,Zagreb,Croatia,roman
1st c. AD,Salona,Solin,Croatia,roman
1st c. AD,Cibalae,Vinkovci,Croatia,roman
1st c. AD,Aquae Helveticae,Baden,Switzerland,roman
1st c. AD,Gesoriacum,Boulogne-sur-Mer,France,roman
1st c. AD,Storgosia,Pleven,Bulgaria,roman
100 AD,Sostra,"Lomets, Lovech",Bulgaria,roman
101-106 AD,Nicopolis ad Istrum,"Nikyup, Veliko Tarnovo",Bulgaria,roman
103 AD,Aquincum,Budapest,Hungary,roman
106 AD,Nicopolis ad Nestum,Garmen,Bulgaria,roman
107 AD,Apulum,Alba Iulia,Romania,roman
120 AD,Pons Aelius,Newcastle upon Tyne,UK,roman
120 AD,Durovigutum,Godmanchester,UK,roman
125 AD,Hadrianopolis,Edirne,Turkey,roman
131 AD,Aelia Capitolina,Jerusalem (part of),Israel / State of Palestine,roman
150 AD,Ala,Aalen,Germany,roman
179 AD,Castra Regina,Regensburg,Germany,roman
2nd c. AD,Theranda,Prizren,Kosovo,roman
2nd c. AD,Pomaria,Tlemcen,Algeria,roman
2nd c. AD,Partiscum,Szeged,Hungary,roman
2nd c. AD,Calisia,Kalisz,Poland[8],roman
210 AD,Aurelia Aquensis,Baden-Baden,Germany,roman
273 AD,Urbs Aurelianorum,Orléans,France,roman
330 AD,Constantinopolis,Istanbul,Turkey,roman
early 4th century AD,Kovachevsko kale,"Kovachevo, Targovishte",Bulgaria,roman
421 AD,Venetiae,Venice,Italy,roman
7th c. AD,Ragusium,Dubrovnik,Croatia,roman
