city,Department,Region,Pop. 2013census,Rank,civ
Torcy,Seine-et-Marne,Île-de-France,23669,365,france
Maisons-Laffitte,Yvelines,Île-de-France,23565,366,france
Montgeron,Essonne,Île-de-France,23565,367,france
Villeneuve-sur-Lot,Lot-et-Garonne,Nouvelle-Aquitaine,23462,368,france
Cormeilles-en-Parisis,Val-d'Oise,Île-de-France,23419,369,france
Épernay,Marne,Grand Est,23413,370,france
Sèvres,Hauts-de-Seine,Île-de-France,23404,371,france
Dole,Jura,Bourgogne-Franche-Comté,23312,372,france
Le Robert,Martinique,Martinique,23296,373,france
Le Bouscat,Gironde,Nouvelle-Aquitaine,23207,374,france
Blagnac,Haute-Garonne,Occitanie,22969,375,france
Frontignan,Hérault,Occitanie,22942,376,france
Cenon,Gironde,Nouvelle-Aquitaine,22882,377,france
Mandelieu-la-Napoule,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,22864,378,france
Vertou,Loire-Atlantique,Pays de la Loire,22820,379,france
Les Lilas,Seine-Saint-Denis,Île-de-France,22819,380,france
Bruay-la-Buissière,Pas-de-Calais,Hauts-de-France,22802,381,france
Les Pavillons-sous-Bois,Seine-Saint-Denis,Île-de-France,22680,382,france
Chaumont,Haute-Marne,Grand Est,22560,383,france
Roissy-en-Brie,Seine-et-Marne,Île-de-France,22559,384,france
Le Moule,Guadeloupe,Guadeloupe,22456,385,france
Le Petit-Quevilly,Seine-Maritime,Normandy,22426,386,france
Manosque,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,22412,387,france
Saint-Mandé,Val-de-Marne,Île-de-France,22398,388,france
Fontenay-aux-Roses,Hauts-de-Seine,Île-de-France,22378,389,france
Orly,Val-de-Marne,Île-de-France,22377,390,france
Le Creusot,Saône-et-Loire,Bourgogne-Franche-Comté,22308,391,france
Oyonnax,Ain,Auvergne-Rhône-Alpes,22258,392,france
La Madeleine,Nord,Hauts-de-France,22243,393,france
Sainte-Suzanne,Réunion,Réunion,22209,394,france
Millau,Aveyron,Occitanie,22205,395,france
Combs-la-Ville,Seine-et-Marne,Île-de-France,22086,396,france
Fontaine,Isère,Auvergne-Rhône-Alpes,22066,397,france
Deuil-la-Barre,Val-d'Oise,Île-de-France,22031,398,france
Coudekerque-Branche,Nord,Hauts-de-France,22015,399,france
Auch,Gers,Occitanie,21962,400,france
Lanester,Morbihan,Brittany,21874,401,france
Beaune,Côte-d'Or,Bourgogne-Franche-Comté,21838,402,france
Montigny-lès-Metz,Moselle,Grand Est,21831,403,france
Hazebrouck,Nord,Hauts-de-France,21737,404,france
Longjumeau,Essonne,Île-de-France,21657,405,france
Sainte-Foy-lès-Lyon,Rhône,Auvergne-Rhône-Alpes,21646,406,france
Forbach,Moselle,Grand Est,21596,407,france
Sarreguemines,Moselle,Grand Est,21572,408,france
Mons-en-Barœul,Nord,Hauts-de-France,21513,409,france
La Valette-du-Var,Var,Provence-Alpes-Côte d'Azur,21463,410,france
Hérouville-Saint-Clair,Calvados,Normandy,21393,411,france
Morsang-sur-Orge,Essonne,Île-de-France,21377,412,france
Grande-Synthe,Nord,Hauts-de-France,21364,413,france
La Celle-Saint-Cloud,Yvelines,Île-de-France,21264,414,france
Lisieux,Calvados,Normandy,21132,415,france
Croix,Nord,Hauts-de-France,21114,416,france
Dammarie-les-Lys,Seine-et-Marne,Île-de-France,21094,417,france
Vélizy-Villacoublay,Yvelines,Île-de-France,20997,418,france
Wasquehal,Nord,Hauts-de-France,20990,419,france
Saint-Gratien,Val-d'Oise,Île-de-France,20933,420,france
Halluin,Nord,Hauts-de-France,20915,421,france
Neuilly-Plaisance,Seine-Saint-Denis,Île-de-France,20840,422,france
Montmorency,Val-d'Oise,Île-de-France,20796,423,france
Dax,Landes,Nouvelle-Aquitaine,20776,424,france
Lagny-sur-Marne,Seine-et-Marne,Île-de-France,20718,425,france
Le Mée-sur-Seine,Seine-et-Marne,Île-de-France,20713,426,france
Saint-Genis-Laval,Rhône,Auvergne-Rhône-Alpes,20696,427,france
Fleury-les-Aubrais,Loiret,Centre-Val de Loire,20677,428,france
Loos,Nord,Hauts-de-France,20650,429,france
Gif-sur-Yvette,Essonne,Île-de-France,20631,430,france
Denain,Nord,Hauts-de-France,20549,431,france
Saint-Dié-des-Vosges,Vosges,Grand Est,20471,432,france
Sainte-Rose,Guadeloupe,Guadeloupe,20144,433,france
Saint-Michel-sur-Orge,Essonne,Île-de-France,20057,434,france
