token_value,count,token_key
gni,36,389
t ra,35,390
ntpe,35,391
cca,35,392
mui,35,393
bzo,35,394
stu,35,395
poi,35,396
stro,35,397
teayo,35,398
rzu,35,399
wei,35,400
gdaou,35,401
bayo,35,402
scu,35,403
ng phe,35,404
tsuya,35,405
stha,35,406
n hi,35,407
n chu,34,408
goya,34,409
xta,34,410
khu,34,411
praya,34,412
mm,34,413
jai,34,414
glou,34,415
llie,34,416
ngta,34,417
tve,34,418
rm,34,419
heyua,34,420
pei,34,421
gao,34,422
gho,34,423
kia,34,424
msk,34,425
rdeau,34,426
fke,34,427
suo,33,428
rei,33,429
 si,33,430
tsu,33,431
 o,33,432
kaya,33,433
sne,33,434
wi,33,435
kuo,33,436
dru,33,437
ngie,33,438
dro,33,439
cia,33,440
ngbo,33,441
ngjia,33,442
n kae,33,443
nzhe,33,444
hme,33,445
lche,33,446
mpoa,33,447
sya,32,448
ndai,32,449
phe,32,450
f qui,32,451
sca,32,452
wk va,32,453
n bay,32,454
bra,32,455
rho,32,456
nco,32,457
xquia,32,458
ye,32,459
zta,32,460
smo,32,461
rtre,32,462
ngdu,31,463
sla,31,464
ntfo,31,465
vsk,31,466
raya,31,467
liao,31,468
psko,31,469
zhniy,31,470
wo,31,471
ffie,31,472
rca,31,473
lfsbu,31,474
nyu,31,475
 ma,31,476
ty,31,477
rcho,31,478
xe,31,479
chiau,31,480
mpto,31,481
f,31,482
kleia,30,483
nie,30,484
tya,30,485
rde,30,486
py,30,487
nke,30,488
zda,30,489
rfa,30,490
zia,30,491
rsei,30,492
rge,30,493
lda,30,494
mcoe,30,495
xto,30,496
tlao,30,497
oi,30,498
lyo,30,499
ssu,30,500
ll,30,501
gaoyu,30,502
gla,29,503
sle,29,504
xpa,29,505
zh,29,506
naa,29,507
rdea,29,508
jra,29,509
dhya,29,510
toya,29,511
teo,29,512
smy,29,513
djio,29,514
xtla,29,515
jia,29,516
stia,29,517
dre,28,518
gre,28,519
ghto,28,520
ntry,28,521
kro,28,522
caea,28,523
pho,28,524
mni,28,525
xca,28,526
chti,28,527
rtui,28,528
spo,28,529
thi,28,530
sue,28,531
rle,28,532
chu,28,533
cre,28,534
hr,28,535
kie,27,536
dio,27,537
sde,27,538
stpe,27,539
ncy,27,540
wca,27,541
gli,27,542
llo,27,543
mra,27,544
gnia,27,545
hae,27,546
s ve,27,547
lchiui,27,548
tz,27,549
lau,27,550
mao,27,551
bbi,27,552
xco,26,553
shao,26,554
rbu,26,555
pai,26,556
fre,26,557
nn,26,558
boi,26,559
qo,26,560
teu,26,561
rgi,26,562
dui,26,563
pswi,26,564
tti,26,565
rkha,26,566
rfi,26,567
mble,26,568
nmi,26,569
brau,26,570
n fra,26,571
sai,26,572
nt e,26,573
zli,26,574
rbi,25,575
 ha,25,576
ngqi,25,577
s a,25,578
bao,25,579
rsbu,25,580
gi,25,581
syu,25,582
ttga,25,583
tria,25,584
rbou,25,585
nschwei,25,586
dwi,25,587
rty,25,588
nth,25,589
kre,24,590
stk,24,591
dge,24,592
raeu,24,593
lki,24,594
xia,24,595
gsha,24,596
ngshi,24,597
ntu,24,598
lgie,24,599
nea,24,600
tsk,24,601
fplio,24,602
ai,24,603
mbri,24,604
pto,24,605
rw,24,606
roua,24,607
kni,24,608
nt va,23,609
n a,23,610
zhou,23,611
shiyau,23,612
rtsmou,23,613
eio,23,614
lka,23,615
shei,23,616
mpia,23,617
ppi,23,618
gda,23,619
x e,23,620
shmu,23,621
nkfu,23,622
bie,23,623
n pro,23,624
mna,23,625
vre,23,626
blo,23,627
ttsbu,22,628
 a,22,629
ngfie,22,630
spri,22,631
phoe,22,632
w yo,22,633
lhei,22,634
st loui,22,635
nghau,22,636
tre,22,637
 ba,22,638
llae,22,639
ckli,22,640
trae,22,641
nio,22,642
shpa,22,643
ctra,22,644
nhu,22,645
ky,22,646
fyo,22,647
khe,22,648
nae,22,649
rhau,22,650
nde,22,651
nz,22,652
mde,22,653
ntiu,21,654
saa,21,655
w o,21,656
rdio,21,657
rlsru,21,658
mae,21,659
rbru,21,660
mpu,21,661
nhua,21,662
kou,21,663
khr,21,664
taiyua,21,665
lee,21,666
lphia,21,667
neu,21,668
dba,21,669
ngto,21,670
rhei,21,671
rgh,21,672
 bay,21,673
thwo,21,674
gne,21,675
skha,21,676
khmi,21,677
gno,21,678
grba,21,679
ss,21,680
dae,21,681
tsda,20,682
dt,20,683
rnia,20,684
ds,20,685
rcei,20,686
dfu,20,687
cke,20,688
thri,20,689
rzbu,20,690
gdu,20,691
nve,20,692
rmsta,20,693
rf,20,694
ldo,20,695
hie,20,696
pzi,20,697
lto,19,698
sna,19,699
qa,19,700
