Rank,city,Russian,Federal subject,civ,Population,,Change
,,,,,2021 Census[1],2010 Census[2],
176,Gatchina,???????, Leningrad Oblast,Northwest,94377,92937,1.55%
184,Murino,??????, Leningrad Oblast,Northwest,89083,7949,1020.68%
205,Vsevolozhsk,??????????, Leningrad Oblast,Northwest,79038,59704,32.38%
220,Vyborg,??????, Leningrad Oblast,Northwest,72530,79962,?9.29%
232,Sertolovo,?????????, Leningrad Oblast,Northwest,68241,47457,43.80%
238,Sosnovy Bor,???????? ???, Leningrad Oblast,Northwest,65367,65788,?0.64%
291,Tikhvin,??????, Leningrad Oblast,Northwest,55415,58459,?5.21%
307,Kirishi,??????, Leningrad Oblast,Northwest,51028,52309,?2.45%
71,Murmansk,????????, Murmansk Oblast,Northwest,270384,307257,?12.00%
86,Veliky Novgorod,??????? ????????, Novgorod Oblast,Northwest,224286,218717,2.55%
93,Pskov,?????, Pskov Oblast,Northwest,193082,203279,?5.02%
190,Velikiye Luki,??????? ????, Pskov Oblast,Northwest,86711,98778,?12.22%
82,Petrozavodsk,????????????, Republic of Karelia,Northwest,234897,261987,?10.34%
2,Saint Petersburg,?????-?????????, Saint Petersburg (federal city)[4],Northwest,5601911,4879566,14.80%
62,Vologda,???????, Vologda Oblast,Northwest,313944,301755,4.04%
64,Cherepovets,?????????, Vologda Oblast,Northwest,305185,312310,?2.28%
20,Barnaul,???????, Altai Krai,Siberia,630877,612401,3.02%
99,Biysk,?????, Altai Krai,Siberia,183852,210115,?12.50%
131,Rubtsovsk,????????, Altai Krai,Siberia,126834,147002,?13.72%
219,Novoaltaysk,???????????, Altai Krai,Siberia,73049,70437,3.71%
239,Gorno-Altaysk,?????-???????, Altai Republic,Siberia,65342,56933,14.77%
25,Irkutsk,???????, Irkutsk Oblast,Siberia,617264,587891,5.00%
88,Bratsk,??????, Irkutsk Oblast,Siberia,224071,246319,?9.03%
90,Angarsk,???????, Irkutsk Oblast,Siberia,221296,233567,?5.25%
204,Ust-Ilimsk,????-??????, Irkutsk Oblast,Siberia,79570,86610,?8.13%
215,Usolye-Sibirskoye,??????-?????????, Irkutsk Oblast,Siberia,74762,83327,?10.28%
28,Kemerovo,????????, Kemerovo Oblast,Siberia,557119,532981,4.53%
33,Novokuznetsk,???????????, Kemerovo Oblast,Siberia,537480,547904,?1.90%
103,Prokopyevsk,???????????, Kemerovo Oblast,Siberia,177819,210130,?15.38%
174,Mezhdurechensk,????????????, Kemerovo Oblast,Siberia,96174,101678,?5.41%
179,Leninsk-Kuznetsky,???????-?????????, Kemerovo Oblast,Siberia,92244,101666,?9.27%
193,Kiselyovsk,?????????, Kemerovo Oblast,Siberia,83431,98365,?15.18%
203,Yurga,????, Kemerovo Oblast,Siberia,79693,81533,?2.26%
230,Belovo,??????, Kemerovo Oblast,Siberia,68542,76764,?10.71%
236,Anzhero-Sudzhensk,??????-????????, Kemerovo Oblast,Siberia,66583,76646,?13.13%
8,Krasnoyarsk,??????????, Krasnoyarsk Krai,Siberia,1187771,973826,21.97%
105,Norilsk,????????, Krasnoyarsk Krai,Siberia,174453,175365,?0.52%
166,Achinsk,??????, Krasnoyarsk Krai,Siberia,100621,109155,?7.82%
189,Kansk,?????, Krasnoyarsk Krai,Siberia,86816,94226,?7.86%
197,Zheleznogorsk,????????????, Krasnoyarsk Krai,Siberia,82723,84795,?2.44%
227,Minusinsk,?????????, Krasnoyarsk Krai,Siberia,70089,71170,?1.52%
289,Lesosibirsk,???????????, Krasnoyarsk Krai,Siberia,55730,61139,?8.85%
